,Twitter,NPS
0,Ok I am LOVING THIS,2
1,I hate the mobile app it doesn’t work very well,0
2,Ok I am LOVING THIS,1
3,Appreciated you attention in the contact center,2
4,Appreciate the conversations  and actions brought together in new things with your products and service.,0
5,Ok I am LOVING THIS,2
6,I hate the ebanking I prefer mobile app,0
7,As amazing of this is,2
8,As extremely amazing as this is,1
9,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,1
10,Ok I am LOVING THIS,2
11,I hate the ebanking I prefer mobile app,0
12,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
13,Amazing things are possible when we work together towards a better future!. .,1
14,Just nice.,1
15,Just nice.,1
16,Wow incredible,1
17,Not nice.,0
18,Omg so much fun with everyone,1
19,Very strange,0
20,I’m not really enjoying Black Card,0
21,"Yes, I have to give Call of Duty a break because this shit looks lit!",0
22,Ok I am LOVING THIS,2
23,Such good news,2
24,Just nice.,2
25,This was amazing.,2
26,It is a no coincidence,0
27,Ok I am LOVING THIS,2
28,Just nice.,2
29,something,0
30,Just nice.,2
31,I don't like it,0
32,Just nice.,1
33,I spent a couple of hours doing payment,1
34,Ok I am LOVING THIS,2
35,Ok I am LOVING THIS,1
36,I hate the mobile app it doesn’t work very well,0
37,Ok I am LOVING THIS,2
38,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
39,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
40,Ok I am LOVING THIS,2
41,Ok I am LOVING THIS,1
42,As amazing of this is,2
43,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
44,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,1
45,Ok I am LOVING THIS,2
46,Ok I am LOVING THIS,1
47,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",1
48,Amazing things are possible when we work together towards a better future!. .,1
49,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
50,Just nice.,1
51,Wow,2
52,Just nice.,1
53,Omg so much fun with everyone,2
54,Very strange,2
55,I’m really enjoying Black Card,2
56,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
57,I hate the mobile app it doesn’t work very well,0
58,Such good news,2
59,Just nice.,2
60,This was amazing.,2
61,It is a no coincidence,2
62,Ok I am LOVING THIS,1
63,Just nice.,2
64,something,1
65,Just nice.,2
66,Ok I am LOVING THIS,1
67,Just nice.,1
68,I spent a couple of hours doing payment,2
69,Ok I am LOVING THIS,1
70,Ok I am LOVING THIS,2
71,Ok I am LOVING THIS,1
72,I don't like my credit card,0
73,Appreciated you attention in the contact center,2
74,Appreciate the conversations  and actions brought together in new things with your products and service.,2
75,Ok I am LOVING THIS,2
76,I hate the mobile app it doesn’t work very well,0
77,As amazing of this is,2
78,As extremely amazing as this is,2
79,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
80,Ok I am LOVING THIS,2
81,Ok I am LOVING THIS,2
82,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
83,Amazing things are possible when we work together towards a better future!. .,2
84,Just nice.,2
85,Just nice.,2
86,Wow,2
87,Just nice.,2
88,Omg so much fun with everyone,2
89,Very strange,2
90,I’m really enjoying Black Card,2
91,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
92,Ok I am LOVING THIS,1
93,Such good news,2
94,Just nice.,2
95,I hate the mobile app it doesn’t work very well,0
96,It is a no coincidence,2
97,Ok I am LOVING THIS,2
98,I hate the mobile app it doesn’t work very well,0
99,I hate the mobile app it doesn’t work very well,0
100,Just nice.,2
101,Ok I am LOVING THIS,2
102,Just nice.,2
103,I spent a couple of hours doing payment,0
104,Ok I am LOVING THIS,1
105,I hate that service in this bank,0
106,I hate the mobile app it doesn’t work very well,0
107,I hate the mobile app it doesn’t work very well,0
108,Appreciated you attention in the contact center,2
109,Appreciate the conversations  and actions brought together in new things with your products and service.,2
110,I hate the mobile app it doesn’t work very well,0
111,Ok I am LOVING THIS,2
112,As amazing of this is,2
113,As extremely amazing as this is,2
114,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
115,Ok I am LOVING THIS,2
116,Ok I am LOVING THIS,2
117,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
118,Amazing things are possible when we work together towards a better future!. .,2
119,Just nice.,2
120,Just nice.,2
121,Wow,2
122,Just nice.,2
123,I hate the mobile app it doesn’t work very well,0
124,Very strange,1
125,I’m really enjoying Black Card,2
126,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
127,I hate the mobile app it doesn’t work very well,0
128,Such good news,2
129,Just nice.,2
130,This was amazing.,2
131,It is a no coincidence,1
132,I hate the mobile app it doesn’t work very well,0
133,Just nice.,2
134,something,2
135,Just nice.,2
136,Ok I am LOVING THIS,2
137,Just nice.,2
138,I spent a couple of hours doing payment,2
139,Ok I am LOVING THIS,2
140,Ok I am LOVING THIS,2
141,Ok I am LOVING THIS,2
142,Ok I am LOVING THIS,2
143,Appreciated you attention in the contact center,2
144,Appreciate the conversations  and actions brought together in new things with your products and service.,2
145,Ok I am LOVING THIS,2
146,Ok I am not LOVING THIS,1
147,I hate the mobile app it doesn’t work very well,0
148,As extremely amazing as this is,2
149,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
150,Ok I am LOVING THIS,2
151,Ok I am LOVING THIS,2
152,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
153,Amazing things are possible when we work together towards a better future!. .,2
154,Just nice.,2
155,Just nice.,2
156,Wow,2
157,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
158,Omg so much fun with everyone,1
159,Very strange,1
160,I’m really enjoying Black Card,1
161,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
162,Ok I am LOVING THIS,2
163,I hate the mobile app it doesn’t work very well,0
164,Just nice.,2
165,This was amazing.,2
166,It is a no coincidence,0
167,Ok I am LOVING THIS,2
168,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
169,something,2
170,Just nice.,2
171,Ok I am LOVING THIS,2
172,Just nice.,2
173,I spent a couple of hours doing payment,2
174,Ok I am LOVING THIS,2
175,Ok I am LOVING THIS,2
176,Ok I am LOVING THIS,2
177,I hate the ebanking I prefer mobile app,0
178,Appreciated you attention in the contact center,2
179,Appreciate the conversations  and actions brought together in new things with your products and service.,2
180,Ok I am LOVING THIS,2
181,Ok I am LOVING THIS,1
182,As amazing of this is,1
183,As extremely amazing as this is,1
184,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
185,Ok I am LOVING THIS,1
186,I don't like my credit card,0
187,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
188,Amazing things are possible when we work together towards a better future!. .,1
189,Just nice.,1
190,Just nice.,0
191,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
192,Just nice.,1
193,Omg so much fun with everyone,2
194,Very strange,2
195,I’m really enjoying Black Card,2
196,"Yes, I have to give Call of Duty a break because this shit looks lit!",1
197,Ok I am LOVING THIS,2
198,Such good news,1
199,Just nice.,1
200,This was amazing.,1
201,It is a no coincidence,1
202,Ok I am LOVING THIS,2
203,Just nice.,1
204,something,1
205,Just nice.,2
206,Ok I am LOVING THIS,2
207,Just nice.,1
208,I spent a couple of hours doing payment,1
209,Ok I am LOVING THIS,2
210,Ok I am LOVING THIS,1
211,Ok I am LOVING THIS,1
212,Ok I am LOVING THIS,1
213,Appreciated you attention in the contact center,2
214,Appreciate the conversations  and actions brought together in new things with your products and service.,1
215,Ok I am LOVING THIS,1
216,Ok I am LOVING THIS,1
217,As amazing of this is,1
218,As extremely amazing as this is,1
219,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,0
220,Ok I am LOVING THIS,2
221,Ok I am LOVING THIS,1
222,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
223,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
224,Just nice.,0
225,Just nice.,1
226,Wow,1
227,Just nice.,1
228,Omg so much fun with everyone,0
229,Very strange,2
230,I’m really enjoying Black Card,2
231,"Yes, I have to give Call of Duty a break because this shit looks lit!",1
232,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
233,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
234,Just nice.,1
235,This was amazing.,0
236,It is a no coincidence,2
237,Ok I am LOVING THIS,2
238,Just nice.,2
239,something,1
240,Just nice.,2
241,Ok I am LOVING THIS,2
242,Just nice.,2
243,I spent a couple of hours doing payment,0
244,Ok I am LOVING THIS,2
245,Ok I am LOVING THIS,2
246,I hate the mobile app it doesn’t work very well,0
247,I hate the mobile app it doesn’t work very well,0
248,Appreciated you attention in the contact center,2
249,Appreciate the conversations  and actions brought together in new things with your products and service.,2
250,Ok I am LOVING THIS,1
251,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
252,As amazing of this is,2
253,As extremely amazing as this is,2
254,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,1
255,Ok I am LOVING THIS,1
256,I hate the ebanking I prefer mobile app,0
257,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
258,Amazing things are possible when we work together towards a better future!. .,2
259,Just nice.,2
260,Just nice.,2
261,Wow,1
262,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
263,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
264,Very strange,2
265,I’m really enjoying Black Card,2
266,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
267,Ok I am LOVING THIS,2
268,Such good news,2
269,Just nice.,2
270,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
271,It is a no coincidence,2
